GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
esms,com.penguin.esms.components.product,ProductService,28,368,12,30,4,73,10,20,0,9
esms,com.penguin.esms.components.product,ProductConfig,0,6,0,0,0,2,0,3,0,3
esms,com.penguin.esms.components.product,ProductEntity,102,66,0,0,15,11,9,18,9,18
esms,com.penguin.esms.components.category,CategoryService,18,211,2,10,5,45,6,12,4,8
esms,com.penguin.esms.components.category,CategoryDTO,0,10,0,0,0,3,0,3,0,3
esms,com.penguin.esms.components.category,CategoryController,5,50,0,0,1,10,1,9,1,9
esms,com.penguin.esms.components.category,CategoryConfig,0,6,0,0,0,2,0,3,0,3
esms,com.penguin.esms.components.category,CategoryEntity,11,19,0,0,2,7,3,4,3,4
esms,com.penguin.esms.components.customer,CustomerConfig,0,6,0,0,0,2,0,3,0,3
esms,com.penguin.esms.components.customer,CustomerController,0,49,0,0,0,10,0,9,0,9
esms,com.penguin.esms.components.customer,CustomerService,0,298,1,15,0,58,1,17,0,10
esms,com.penguin.esms.components.customer,CustomerEntity,8,30,0,0,0,7,2,9,2,9
esms,com.penguin.esms.components.staff,StaffDTO,21,52,0,0,8,9,1,15,1,15
esms,com.penguin.esms.components.staff,StaffService,0,88,0,4,0,15,0,6,0,4
esms,com.penguin.esms.components.staff,Role,3,25,0,0,1,3,1,2,1,2
esms,com.penguin.esms.components.staff,StaffController,0,55,0,0,0,8,0,6,0,6
esms,com.penguin.esms.components.staff,StaffEntity,32,131,0,0,3,28,6,22,6,22
esms,com.penguin.esms.components.statistic,StatisticController,0,9,0,0,0,1,0,1,0,1
esms,com.penguin.esms.components.statistic,StatisticService,28,21,0,0,4,1,1,1,1,1
esms,com.penguin.esms.components.statistic,StatisticConfig,0,9,0,0,0,3,0,3,0,3
esms,com.penguin.esms.components.statistic,StatisticEntity,43,3,0,0,6,1,9,1,9,1
